mine,notes,upload_date,title,url,duration,views,tab,format_guess,other_people,mentions_jeff,description_snippet
no,outside date window,2022-10-11,A demo of Knock in five minutes,https://www.youtube.com/watch?v=Q5bPuNV6KXY,4:42,2926,videos,solo/demo,,,"In this five-minute demo we show how to use Knock to power product notifications across in-app, email, and Slack. Knock is the most powerful notification system you'll never build. Use our APIs to eng…"
no,outside date window,2022-10-12,Feature Launch: Knock Sources,https://www.youtube.com/watch?v=PpUCERxZ7sg,5:00,537,videos,solo/demo,,,"With Knock Sources you can power sophisticated, cross-channel product notifications with Segment, Hightouch, and other CDP and reverse ETL platforms in minutes. Knock is the most powerful notification…"
no,outside date window,2023-08-24,Powering Knock with Segment Events,https://www.youtube.com/watch?v=Fj8wl6TNbrI,12:14,323,videos,solo/demo,,,"If you already have Segment (or another CDP) incorporated into your application, good news: you can use those events to trigger Knock workflows without adding anything to your codebase. We've made a h…"
no,outside date window,2023-11-09,Knock changelog | October 2023,https://www.youtube.com/watch?v=x1deS0r1nlk,4:38,87,videos,solo/demo,,,"October was mostly focused on quality-of-life improvements across our workflow builder, batch step, and CLI. Checkout the details below: devtools and dives @ re:Invent: https://lu.ma/2snyn6cr Workflow…"
yes,confirmed mine,2023-12-19,How to send in-app notifications with Next.js,https://www.youtube.com/watch?v=yN0A_wjaWmc,33:30,4631,videos,solo/demo,,,"In this video, you'll learn how to create an in-app notification feed in a Next.js 13 project using Knock, a notification infrastructure. The demo app uses Vercel Postgres, Auth.js, and the Next.js ap…"
yes,,2024-01-19,Knock CLI basics: notification workflows in code,https://www.youtube.com/watch?v=27qCR6DFCDs,7:56,222,videos,solo/demo,,,"The Knock CLI provides developers a way to bring resources in Knock directly into their codebases for local editing, version control, and CI/CD. In the first part of this series exploring the Knock CL…"
yes,,2024-01-26,A walkthrough of the new @knocklabs/react SDK,https://www.youtube.com/watch?v=nFsXI5NYPHo,4:03,177,videos,solo/demo,,,"In this video, you'll learn about the new @knocklabs/react SDK and how to upgrade from the old @knocklabs/react-notification-feed package. This new SDK sets the foundation for some cool features in 20…"
yes,confirmed mine,2024-01-29,How to OAuth with Slack using Node.js and Express,https://www.youtube.com/watch?v=o6k51xE1qBg,25:48,2606,videos,solo/demo,,,"In this video, you’ll learn how to implement an OAuth flow from scratch to connect a Node.js/Express application to Slack. All of the code samples from this video can be found in this blog post on the…"
yes,confirmed mine,2024-02-06,A deep dive into Slack's Block Kit,https://www.youtube.com/watch?v=aTtgcLrVK-E,22:29,11778,videos,solo/demo,,,"In this video, we take a deep dive into Slack’s Block Kit, which is a JSON-based framework for creating Slack messages sent by bots and applications. We cover common static message types and demonstra…"
yes,,2024-03-13,Learn Slack's markdown syntax,https://www.youtube.com/watch?v=vWMjOdB5Ozs,9:33,1757,videos,solo/demo,,,"In this video, we'll cover the basics of formatting messages for the Slack API using mrkdwn syntax. By the end of this video, you'll be able to style text, format lists and quotes, use code samples, i…"
