mine,notes,upload_date,title,url,duration,views,presenter_in_desc,mentions_jeff,description_snippet
,,2020-12-15,Previews in Headless WordPress,https://www.youtube.com/watch?v=dYsLZrjtAqg,20:34,3709,Matt Landers,,Presenter: Matt Landers - https://twitter.com/matt_landers One of the first challenges you'll run into when creating a headless WordPress site is allowing content producers to preview their posts befo…
,,2021-01-20,Introduction to WPGraphQL,https://www.youtube.com/watch?v=N7H-a1232ow,17:37,8107,Matt Landers,,"Presenter: Matt Landers - https://twitter.com/matt_landers Headless WordPress sites need a robust API, and WPGraphQL provides a robust GQL API for building your sites. In this video, learn how to get …"
,,2021-01-22,Intro to the WordPress REST API,https://www.youtube.com/watch?v=uJf-fu3VbKw,14:20,17075,Matt Landers,,"Presenter: Matt Landers - https://twitter.com/matt_landers When you're building a headless site or an omnichannel experience with WordPress, you need to get content and data out of the system. WordPre…"
,,2021-03-05,DE{CODE} 2021 - Getting Started with Headless,https://www.youtube.com/watch?v=y9YB0IC65Co,35:19,4122,Matt Landers,,"Presenter: Matt Landers - https://twitter.com/matt_landers In this breakout session at DE{CODE} 2021, you'll learn how to get started writing a headless frontend for WordPress. We use our headless fra…"
,,2021-03-29,Headless WordPress With Vue And Nuxt,https://www.youtube.com/watch?v=9RlUvhhO8as,51:14,14339,Will Johnston,,"Presenter: Will Johnston - https://twitter.com/wjohnsto In this video, Will walks us through how to create a headless WordPress site using Vue and Nuxt. By the end of the video, you'll have a working …"
,,2021-05-11,Gravity Forms in Headless WordPress,https://www.youtube.com/watch?v=WUKo6frHsFw,36:33,3748,Kellen Mace,,Let's learn all about how to work with Gravity Forms in headless WordPress projects! There's also a blog post for this video: https://developers.wpengine.com/blog/work-with-gravity-forms-in-headless-w…
,,2021-05-19,GraphQL Code Generator for WPGraphQL,https://www.youtube.com/watch?v=74JkP9CUWiI,17:24,1192,,,Learn how to use GraphQL Code Generator to automatically generate TypeScript types using the GraphQL schema that WPGraphQL provides. PRESENTED BY Kellen Mace - https://twitter.com/kellenmace BLOG POST…
,,2021-05-27,Apollo Client Cache Rehydration in Next.js,https://www.youtube.com/watch?v=OtOeIXL1LRw,15:19,5011,,,"Learn how to fetch data on the server in a Next.js app, populate Apollo Client’s cache, and use it to rehydrate Apollo Client’s cache in the browser. Then, any of your pages that need that data will r…"
,,2021-06-07,WPGraphQL vs REST API (PART 1),https://www.youtube.com/watch?v=5Kvk4YnKljM,56:30,287,,,We pit WPGraphQL and REST API against each other. Which has better performance? How easy are caching and file uploads? Which one works best with headless WordPress?
,,2021-06-09,WPGraphQL vs REST API (PART 2),https://www.youtube.com/watch?v=m0a0VDNU-sY,23:14,92,,,(Part 2) We pit WPGraphQL and REST API against each other. Which has better performance? How easy are caching and file uploads? Which one works best with headless WordPress? Follow all of our content …
,,2021-06-16,Gravity Forms in Headless WordPress with Gatsby,https://www.youtube.com/watch?v=G84ChuTaTgM,29:09,1220,Kellen Mace,,Let's learn how to work with Gravity Forms in headless WordPress using Gatsby! There's also a blog post for this video: https://developers.wpengine.com/blog/gravity-forms-in-headless-wordpress-gatsby …
,,2021-07-14,Headless WordPress Authentication with Native Cookies,https://www.youtube.com/watch?v=eeWxvCZHxLs,56:00,6023,Kellen Mace,,"Learn how to authenticate users on your decoupled, frontend JavaScript app using the same native auth cookies that WordPress uses. There's also a blog post for this video: https://developers.wpengine.…"
,,2021-08-25,"Jamstack with Cassidy, Ben, and Tara from Netlify",https://www.youtube.com/watch?v=iUSs_c8bFr4,1:15:17,112,,,"We invite Cassidy, Ben, and Tara from the Netlify DevRel team to talk about using the Jamstack architecture with Headless WordPress. Cassidy mentions a few examples she's seen of React + Headless Word…"
,,2021-09-08,Gutenberg in Headless WordPress: Render Blocks as HTML,https://www.youtube.com/watch?v=Naz0Fv_VVQk,17:49,5822,Kellen Mace,,Let's explore the most straightforward approach for working with Gutenberg blocks in headless WordPress apps: rendering blocks to the page as HTML. Presenter: Kellen Mace - https://twitter.com/kellenm…
,,2021-09-13,Gutenberg in Headless WordPress: WPGraphQL Gutenberg,https://www.youtube.com/watch?v=4Ybro_joKMk,19:19,4798,Kellen Mace,,Let's explore how to to render individual Gutenberg blocks as React/Vue/Svelte components in your frontend app using the WPGraphQL Gutenberg plugin. Presenter: Kellen Mace - https://twitter.com/kellen…
,,2021-09-27,Core Web Vitals,https://www.youtube.com/watch?v=kJdisnXrUqU,1:10:15,165,,,"Have you ever heard of Core Web Vitals? Kellen and Will teach you all the basics, including how to get a good Core Web Vital score, Largest Contentful Paint, First Input Delay, and Cumulative Layout S…"
,,2021-10-19,Next.js Rumor Roundup,https://www.youtube.com/watch?v=jMCBog_JlPo,1:03:47,146,,,Will and Kellen give their predictions and dreams for Next.js conference 2021. What will happen on the 5th anniversary of Next.js? Increased support for Core Web Vitals? Support for Deno? What about r…
,,2021-11-02,Rendering Patterns with Alex Moon,https://www.youtube.com/watch?v=AjEx3DjjJgQ,1:21:53,283,,,Solutions Architect Alex Moon stops by the De{Code} pod to talk rendering in front-end development. Headless WordPress resources: https://developers.wpengine.com
,,2021-11-08,Gutenberg with Jason Bahl,https://www.youtube.com/watch?v=2kIsGZMzCU4,48:58,221,,,"The DevRel team invites JSON Bahl back onto the pod to discuss Gutenberg. Jason talks about the benefits of Gutenberg, what's lacking in Gutenberg's current implementation, and what implementations ex…"
,,2021-11-15,Farewell Will,https://www.youtube.com/watch?v=_fZtTDEmhZw,50:10,100,,,Will bids the De{Code} podcast adieu and reflects on his headless development journey. Headless WordPress resources: https://developers.wpengine.com
,,2021-11-22,Introducing Grace Erixon,https://www.youtube.com/watch?v=dr_rPY1vYbU,24:20,113,,,"The De{Code} podcast welcomes our new host, Grace Erixon. Kellen and Grace talk about Grace's development history. Headless WordPress resources: https://developers.wpengine.com"
,,2021-11-24,Intro to Headless WordPress with SvelteKit,https://www.youtube.com/watch?v=94FZvB6B_c0,20:47,5556,Kellen Mace,,"This is the talk that Kellen Mace gave for the Svelte Summit conference in Fall 2021. In it, we build a proof of concept headless WordPress + SvelteKit app to meet the needs of a client project. Prese…"
,,2021-12-13,Gatsby 4 with Alex Moon,https://www.youtube.com/watch?v=HXzIpAalDeM,59:13,237,,,Alex Moon stops by to hype Gatsby 4. How did Gatsby 4 an up to 10x rendering speed? How is Gatsby future-proofing against React? They also talk about how well Gatsby plays with Faust.js. Links: - What…
,,2021-12-20,Next.js and SvelteKit with Lee Robinson,https://www.youtube.com/watch?v=lS-c8Iku9fs,50:21,3851,,,"We close out the year with Lee Robinson, the director of developer relations at Vercel. Lee talks about the current Next.js landscape within headless development, Rich Harris joining Vercel to work on…"
,,2022-03-14,What is Headless WordPress?,https://www.youtube.com/watch?v=9BKRsnLR0QU,3:07,14829,Grace Erixon,,Let's talk about what a headless WordPress architecture is and how it’s different from a traditional WordPress architecture. A blog post on this topic is available here: https://developers.wpengine.co…
,,2022-03-24,When Should I Use Headless WordPress?,https://www.youtube.com/watch?v=7DPxdSQK7wA,16:45,9079,,,"In this video, you will learn about some common scenarios that can benefit from headless WordPress and some important indicators of when you should stick with traditional WordPress. Blog post availabl…"
,,2022-04-15,Build a Headless WordPress Site with Next.js and WPGraphQL,https://www.youtube.com/watch?v=wfy51nhjfUQ,34:44,38411,,,"In this crash course, you will learn how to build a simple headless WordPress site with Next.js and WPGraphQL. You can follow along with the step-by-step blog post with code examples here: https://dev…"
,,2022-04-18,Build a Headless WordPress App with React and WPGraphQL,https://www.youtube.com/watch?v=cdBBCCvIqvo,26:15,12316,,,"In this crash course, you'll learn how to build a headless WordPress app with React and WPGraphQL. Below you will find links to all of the resources for this video. Blog Post: Code Sandbox: https://co…"
,,2022-04-20,Headless WordPress Tech Stack Options,https://www.youtube.com/watch?v=pCxv4ojUlVg,6:15,2785,Grace Erixon,,"The flexibility of tech stack options is one of the major benefits of headless WordPress for a developer, but the choices can feel intimidating at first. Let's break down these choices and provide rec…"
